week,pais,valor
2018-04-23,Bulgaria,1054
2018-04-23,Croacia,1334
2018-04-23,Chipre,1244
2018-04-23,República Checa,1216
2018-04-23,Dinamarca,1578
2018-04-23,Estonia,1277
2018-04-23,Finlandia,1477
2018-04-23,Francia,1491
2018-04-23,Alemania,1394
2018-04-23,Grecia,1564
2018-04-23,Hungría,1188
2018-04-23,Irlanda,1399
2018-04-23,Italia,1573
2018-04-23,Letonia,1232
2018-04-23,Lituania,1167
2018-04-23,Luxemburgo,1194
2018-04-23,Países Bajos,1620
2018-04-23,Polonia,1153
2018-04-23,Portugal,1521
2018-04-23,Rumanía,1166
2018-04-23,Eslovaquia,1321
2018-04-23,Eslovenia,1312
2018-04-23,España,1269
2018-04-23,Suecia,1482
2018-04-23,Reino Unido,1386
2018-04-30,Austria,1242
2018-04-30,Bélgica,1409
2018-04-30,Bulgaria,1063
2018-04-30,Croacia,1339
2018-04-30,Chipre,1249
2018-04-30,República Checa,1216
2018-04-30,Dinamarca,1577
2018-04-30,Estonia,1342
2018-04-30,Finlandia,1499
2018-04-30,Francia,1501
2018-04-30,Alemania,1412
2018-04-30,Grecia,1575
2018-04-30,Hungría,1201
2018-04-30,Irlanda,1399
2018-04-30,Italia,1585
2018-04-30,Letonia,1241
2018-04-30,Lituania,1181
2018-04-30,Luxemburgo,1212
2018-04-30,Países Bajos,1639
2018-04-30,Polonia,1155
2018-04-30,Portugal,1540
2018-04-30,Rumanía,1174
2018-04-30,Eslovaquia,1354
2018-04-30,Eslovenia,1317
2018-04-30,España,1279
2018-04-30,Suecia,1477
2018-04-30,Reino Unido,1389
2018-05-07,Austria,1250
2018-05-07,Bélgica,1440
2018-05-07,Bulgaria,1078
2018-05-07,Croacia,1361
2018-05-07,Chipre,1276
2018-05-07,República Checa,1230
2018-05-07,Dinamarca,1604
2018-05-07,Estonia,1333
2018-05-07,Finlandia,1526
2018-05-07,Francia,1504
2018-05-07,Alemania,1412
2018-05-07,Grecia,1587
2018-05-07,Hungría,1207
2018-05-07,Irlanda,1399
2018-05-07,Italia,1593
2018-05-07,Letonia,1242
2018-05-07,Lituania,1200
2018-05-07,Luxemburgo,1235
2018-05-07,Países Bajos,1639
2018-05-07,Polonia,1157
2018-05-07,Portugal,1547
2018-05-07,Rumanía,1183
2018-05-07,Eslovaquia,1367
2018-05-07,Eslovenia,1330
2018-05-07,España,1286
2018-05-07,Suecia,1493
2018-05-07,Reino Unido,1401
2018-05-14,Austria,1267
2018-05-14,Bélgica,1404
2018-05-14,Bulgaria,1088
2018-05-14,Croacia,1370
2018-05-14,Chipre,1281
2018-05-14,República Checa,1242
2018-05-14,Dinamarca,1644
2018-05-14,Estonia,1360
2018-05-14,Finlandia,1512
2018-05-14,Francia,1520
2018-05-14,Alemania,1441
2018-05-14,Grecia,1601
2018-05-14,Hungría,1212
2018-05-14,Irlanda,1429
2018-05-14,Italia,1606
2018-05-14,Letonia,1250
2018-05-14,Lituania,1237
2018-05-14,Luxemburgo,1258
2018-05-14,Países Bajos,1665
2018-05-14,Polonia,1187
2018-05-14,Portugal,1564
2018-05-14,Rumanía,1206
2018-05-14,Eslovaquia,1369
2018-05-14,Eslovenia,1338
2018-05-14,España,1302
2018-05-14,Suecia,1533
2018-05-14,Reino Unido,1409
2018-05-21,Austria,1285
2018-05-21,Bélgica,1457
2018-05-21,Bulgaria,1103
2018-05-21,Croacia,1397
2018-05-21,Chipre,1290
2018-05-21,República Checa,1251
2018-05-21,Dinamarca,1672
2018-05-21,Estonia,1354
2018-05-21,Finlandia,1564
2018-05-21,Francia,1543
2018-05-21,Alemania,1474
2018-05-21,Grecia,1624
2018-05-21,Hungría,1234
2018-05-21,Irlanda,1429
2018-05-21,Italia,1623
2018-05-21,Letonia,1267
2018-05-21,Lituania,1249
2018-05-21,Luxemburgo,1258
2018-05-21,Países Bajos,1688
2018-05-21,Polonia,1179
2018-05-21,Portugal,1578
2018-05-21,Rumanía,1239
2018-05-21,Eslovaquia,1393
2018-05-21,Eslovenia,1351
2018-05-21,España,1323
2018-05-21,Suecia,1559
2018-05-21,Reino Unido,1437
2018-05-28,Austria,1311
2018-05-28,Bélgica,1455
2018-05-28,Bulgaria,1115
2018-05-28,Croacia,1412
2018-05-28,Chipre,1325
2018-05-28,República Checa,1278
