fecha,Temperaturamedia-mensual
2018/03/1,"8,9"
2018/04/1,"13,5"
2018/05/1,"17,1"
2018/06/1,"22,2"
2018/07/1,26
2018/08/1,"27,7"
2018/09/1,"24,1"
2018/10/1,"15,5"
2018/11/1,"10,4"
2018/12/1,"7,8"
2019/01/1,"6,5"
2019/02/1,"9,4"
2019/03/1,"12,4"
2019/04/1,"12,6"
2019/05/1,"18,9"
2019/06/1,"23,7"
2019/07/1,28
2019/08/1,"26,1"
2019/09/1,"21,2"
2019/10/1,"16,2"
2019/11/1,"9,6"
2019/12/1,"8,8"
2020/01/1,7
2020/02/1,"10,9"
2020/03/1,"11,4"
2020/04/1,"13,8"
2020/05/1,"19,7"
2020/06/1,"22,5"
2020/07/1,"28,2"
2020/08/1,"25,5"
2020/09/1,"20,9"
2020/10/1,"13,8"
2020/11/1,"11,2"
2020/12/1,"7,2"
2021/01/1,"4,4"
2021/02/1,"10,2"
2021/03/1,"11,3"
2021/04/1,"13,1"
2021/05/1,"17,8"
2021/06/1,"22,3"
2021/07/1,"25,7"
2021/08/1,"27,1"
2021/09/1,"20,7"
2021/10/1,"16,4"
2021/11/1,"8,9"
2021/12/1,"9,1"
